university,abbreviation,department_name,course_title,unit_count,professor,objective,prerequisite,required_skills,outcome,references,scores,description,projects,university_homepage,course_homepage,professor_homepage
Alberta University,UAlberta, Mathematical & Statistical Sci,				STAT 151 - Introduction to Applied Statistics I, 3,,," Mathematics 30-1 or 30-2. Note : This course may not be taken for credit if credit has been obtained in any STAT course, or in KIN 109, PEDS 109, PSYCH 211, SCI 151 or SOC 210.",,,,," Data collection and presentation, descriptive statistics. Probability distributions, sampling distributions and the central limit theorem. Point estimation and hypothesis testing. Correlation and regression analysis. Goodness of fit and contingency table. ",,https://www.ualberta.ca/index.html,https://calendar.ualberta.ca/preview_course_nopop.php?catoid=36&coid=403195,
Alberta University,UAlberta, Mathematical & Statistical Sci,				STAT 161 - Introductory Statistics for Business and Economics, 3,,," Mathematics 30-1 or 30-2. This course may not be taken for credit if credit has been obtained in any STAT course, or in KIN 109, PEDS 109, PSYCH  211, PTHER 352, SCI 151 or SOC 210.",,,,," Data collection and presentation, descriptive statistics. Probability distributions, sampling distributions and the central limit theorem. Point estimation and hypothesis testing. Correlation and regression analysis. Goodness of fit and contingency table. Use of a microcomputer software package for statistical analyses in business and economics. ",,https://www.ualberta.ca/index.html,https://calendar.ualberta.ca/preview_course_nopop.php?catoid=36&coid=405257,
Alberta University,UAlberta, Mathematical & Statistical Sci,				STAT 235 - Introductory Statistics for Engineering, 3.8,,," MATH 100. Corequisite: MATH 101. Credit may not be obtained in STAT 235 if credit has already been obtained in STAT 141, 151, 222, 265, 266; PSYCO 211, SCI 151 or SOC 210. Intended for Engineering students. Other students who take this course will receive *3.0.",,,,," Descriptive data analysis. Calculus of Probability. Binomial, multinomial, Poisson, normal, beta, exponential, gamma, hypergeometric, and Weibull distributions. Sampling distributions. Estimation, testing hypotheses, goodness-of-fit tests, and one-way analysis of variance. Linear correlation and regression. Sampling. Quality control. Use of a microcomputer software package for statistical analyses in engineering applications. ",,https://www.ualberta.ca/index.html,https://calendar.ualberta.ca/preview_course_nopop.php?catoid=36&coid=403196,
Alberta University,UAlberta, Mathematical & Statistical Sci,				STAT 235 - Introductory Statistics for Engineering, 3.8,,," MATH 100. Corequisite: MATH 101. Notes: (1) This course may not be taken for credit if credit has already been obtained in one of STAT 141, 151, 222, 265, 266; PSYCH 211, SCI 151 or SOC 210. (2) Intended for Engineering students. Other students who take this course will receive *3.0.",,,,," Descriptive data analysis. Calculus of Probability. Binomial, multinomial, Poisson, normal, beta, exponential, gamma, hypergeometric, and Weibull distributions. Sampling distributions. Estimation, testing hypotheses, goodness-of-fit tests, and one-way analysis of variance. Linear correlation and regression. Sampling. Quality control. Use of a microcomputer software package for statistical analyses in engineering applications. ",,https://www.ualberta.ca/index.html,https://calendar.ualberta.ca/preview_course_nopop.php?catoid=36&coid=451338,
Alberta University,UAlberta, Mathematical & Statistical Sci,				STAT 252 - Introduction to Applied Statistics II, 3,,," One of STAT 141, 151, 161, 235 or SCI 151. Notes: (1) Credit can be obtained in at most one of STAT 252, 319, 337 or 341, or AREC 313. (2) This course may not be taken for credit if credit has already been obtained in STAT 368 or 378.",,,,," Methods in applied statistics including regression techniques, analysis of variance and covariance, and methods of data analysis. Applications are taken from Biological, Physical and Social Sciences, and Business. ",,https://www.ualberta.ca/index.html,https://calendar.ualberta.ca/preview_course_nopop.php?catoid=36&coid=403197,
Alberta University,UAlberta, Mathematical & Statistical Sci,				STAT 265 - Statistics I, 3,,,"space,",,,,,Sample,,https://www.ualberta.ca/index.html,https://calendar.ualberta.ca/preview_course_nopop.php?catoid=36&coid=403198,
Alberta University,UAlberta, Mathematical & Statistical Sci,				STAT 266 - Statistics II, 3,,," STAT 265. Corequisites: One of MATH 225 or 227, and one of MATH 215 or 317.",,,,," Functions of random variables, sampling distributions, Central Limit Theorem, law of large numbers, statistical models for the data, likelihood, parameters and their interpretation, objectives of statistical inference, point and interval estimation, method of moments, basic notions of testing of hypotheses, errors of the first and second kind, significance level, power, pvalue. ",,https://www.ualberta.ca/index.html,https://calendar.ualberta.ca/preview_course_nopop.php?catoid=36&coid=403199,
Alberta University,UAlberta, Mathematical & Statistical Sci,				STAT 337 - Biostatistics, 3,,," STAT 151, STAT 161, or SCI 151 and a 200-level Biological Science course. Notes : (1) Credit can be obtained in at most one of STAT 252, STAT 337, and AREC 313. (2) This course may not be taken for credit if credit has already been obtained in STAT 368 or 378.",,,,," Methods of data analysis useful in Biostatistics including analysis of variance and covariance and nested designs, multiple regression, logistic regression and log-linear models. The concepts will be motivated by problems in the life sciences. Applications to real data will be emphasized through the use of a computer package. ",,https://www.ualberta.ca/index.html,https://calendar.ualberta.ca/preview_course_nopop.php?catoid=36&coid=403202,
Alberta University,UAlberta, Mathematical & Statistical Sci,				STAT 353 - Life Contingencies I, 3,,, MATH 253 and STAT 265. Corequisite: MATH 215 or 317.,,,,," Time at death random variables, continuous and discrete insurances, endowments and varying annuities, net premiums and reserves. ",,https://www.ualberta.ca/index.html,https://calendar.ualberta.ca/preview_course_nopop.php?catoid=36&coid=403203,
Alberta University,UAlberta, Mathematical & Statistical Sci,				STAT 361 - Sampling Techniques, 3,,," STAT 266, or STAT 235 with consent of the Department. Note: This course may only be offered in alternate years.",,,,," Simple random sampling from finite populations, stratified sampling, regression estimators, cluster sampling. ",,https://www.ualberta.ca/index.html,https://calendar.ualberta.ca/preview_course_nopop.php?catoid=36&coid=403206,
